iter	RMSE
0	6194.431774
1	5944.156198
2	5709.245856
3	5485.904194
4	5274.315426
5	5077.418455
6	4885.972053
7	4706.989756
8	4537.273995
9	4373.802694
10	4222.375095
11	4086.055834
12	3949.174862
13	3824.146877
14	3704.202314
15	3591.980065
16	3486.969523
17	3388.758736
18	3293.514069
19	3205.213582
20	3121.286565
21	3041.348913
22	2967.532907
23	2898.964702
24	2834.38173
25	2772.988198
26	2717.607588
27	2665.742957
28	2614.962127
29	2566.194124
30	2524.209862
31	2477.207608
32	2436.700263
33	2396.916862
34	2361.56965
35	2325.491649
36	2291.843556
37	2260.371726
38	2232.847511
39	2203.593899
40	2178.981745
41	2153.513156
42	2126.782363
43	2105.86265
44	2084.500683
45	2065.066222
46	2045.108994
47	2027.597108
48	2008.204036
49	1990.356409
50	1977.901262
51	1962.432849
52	1946.221318
53	1934.339021
54	1922.469079
55	1910.10803
56	1896.618914
57	1882.836952
58	1873.10501
59	1863.334389
60	1852.427706
61	1840.423797
62	1831.317564
63	1822.102094
64	1810.182001
65	1799.482552
66	1789.504011
67	1782.046099
68	1772.914628
69	1766.052219
70	1756.229997
71	1748.435561
72	1741.835525
73	1733.491821
74	1726.6863
75	1720.994167
76	1712.221155
77	1705.826941
78	1699.323551
79	1694.192425
80	1689.050362
81	1684.184612
82	1677.972964
83	1670.734769
84	1664.267673
85	1659.996276
86	1654.945986
87	1649.064284
88	1644.149934
89	1639.78556
90	1635.46137
91	1631.191565
92	1627.464663
93	1622.121988
94	1617.087713
95	1612.287372
96	1607.427619
97	1603.977418
98	1600.588281
99	1594.236573
100	1589.735659
101	1584.915473
102	1581.285705
103	1577.768806
104	1574.668277
105	1570.803582
106	1566.917514
107	1563.606653
108	1559.121834
109	1556.047622
110	1553.071082
111	1549.604769
112	1545.111693
113	1540.764489
114	1536.697376
115	1533.398468
116	1529.672558
117	1527.343505
118	1523.914253
119	1520.567021
120	1517.655843
121	1514.840014
122	1510.003225
123	1507.181218
124	1504.902901
125	1500.371697
126	1498.451487
127	1496.217417
128	1493.957207
129	1491.062039
130	1487.481414
131	1485.245973
132	1483.252337
133	1480.555508
134	1476.638391
135	1475.346621
136	1472.683409
137	1469.803377
138	1466.169245
139	1462.951789
140	1460.707436
141	1458.567667
142	1456.54452
143	1453.625735
144	1451.18918
145	1449.872679
146	1447.099647
147	1445.070223
148	1443.500448
149	1442.281307
150	1439.978295
151	1437.128291
152	1434.36229
153	1431.14055
154	1426.778048
155	1425.292156
156	1423.204674
157	1419.569975
158	1416.968549
159	1415.386162
160	1412.265184
161	1410.197004
162	1407.235469
163	1405.003591
164	1402.821865
165	1399.989067
166	1398.572601
167	1397.160982
168	1393.738334
169	1391.751878
170	1389.143143
171	1388.199383
172	1385.097131
173	1382.016369
174	1379.35572
175	1377.832215
176	1376.086435
177	1373.330147
178	1371.760272
179	1369.606682
180	1365.708794
181	1364.030465
182	1362.305637
183	1360.498384
184	1358.427594
185	1356.282478
186	1353.90111
187	1352.207382
188	1350.496064
189	1349.393567
190	1347.37421
191	1345.438667
192	1343.082846
193	1341.566845
194	1340.027302
195	1338.46634
196	1335.145105
197	1332.847152
198	1330.865601
199	1329.235393
200	1326.154829
201	1325.229939
202	1324.184405
203	1322.826683
204	1321.627891
205	1321.207533
206	1319.241733
207	1317.101232
208	1314.479685
209	1313.710598
210	1311.624397
211	1309.837945
212	1308.239659
213	1306.822223
214	1305.826567
215	1305.076879
216	1303.044453
217	1301.481269
218	1298.852669
219	1296.347852
220	1294.756377
221	1291.851986
222	1290.484307
223	1289.361387
224	1287.261408
225	1285.585952
226	1284.188222
227	1282.738536
228	1280.912062
229	1279.613023
230	1278.902895
231	1275.827911
232	1273.950129
233	1272.67066
234	1271.099447
235	1269.86122
236	1268.47122
237	1267.462711
238	1266.601492
239	1264.760839
240	1263.651092
241	1262.240516
242	1261.303043
243	1259.356031
244	1258.219375
245	1257.418132
246	1256.536639
247	1254.838632
248	1253.132881
249	1251.436477
250	1250.141164
251	1248.523445
252	1247.173204
253	1245.640635
254	1244.796443
255	1243.855949
256	1242.401545
257	1240.268697
258	1238.533501
259	1237.338176
260	1235.724424
261	1234.91811
262	1233.692943
263	1232.141464
264	1230.699533
265	1229.327387
266	1228.666016
267	1227.509355
268	1226.733269
269	1225.395263
270	1224.038578
271	1222.60235
272	1221.822736
273	1221.119049
274	1219.066778
275	1217.460519
276	1216.31945
277	1215.774787
278	1214.769444
279	1213.499935
280	1211.754823
281	1209.692867
282	1208.275982
283	1206.67656
284	1206.160663
285	1205.058429
286	1203.215516
287	1202.24914
288	1201.013093
289	1200.523924
290	1199.557862
291	1198.616895
292	1196.921478
293	1195.258182
294	1194.571769
295	1194.117621
296	1193.152017
297	1191.789704
298	1191.133621
299	1190.698404
300	1189.946326
301	1188.063571
302	1186.836169
303	1185.898224
304	1184.342412
305	1183.460094
306	1182.161438
307	1180.466953
308	1178.94114
309	1177.001289
310	1176.127307
311	1174.934987
312	1174.533804
313	1173.259294
314	1172.567859
315	1171.398479
316	1171.013408
317	1170.199967
318	1169.502558
319	1168.824153
320	1167.241587
321	1166.527478
322	1165.407805
323	1164.702973
324	1163.987035
325	1163.362338
326	1161.518895
327	1160.285796
328	1159.869925
329	1159.569007
330	1158.997183
331	1158.384222
332	1157.716279
333	1156.875457
334	1156.246988
335	1154.489726
336	1153.877191
337	1153.28104
338	1152.700776
339	1152.135924
340	1150.93847
341	1150.38809
342	1149.872462
343	1149.349078
344	1148.782621
345	1146.952351
346	1145.05173
347	1144.556635
348	1144.074532
349	1142.310132
350	1141.844424
351	1140.514733
352	1139.58425
353	1138.540314
354	1138.087932
355	1137.647325
356	1136.643298
357	1135.738965
358	1135.312682
359	1134.897414
360	1134.492858
361	1133.295624
362	1132.415619
363	1131.54621
364	1130.882446
365	1130.628927
366	1130.239481
367	1129.860027
368	1128.392862
369	1127.565423
370	1126.500161
371	1126.231183
372	1124.255632
373	1123.251602
374	1122.654933
375	1121.706552
376	1121.354565
377	1120.441624
378	1118.599357
379	1117.691973
380	1117.1172
381	1116.568636
382	1115.822154
383	1114.709462
384	1113.699014
385	1113.081964
386	1112.828114
387	1111.104219
388	1110.243303
389	1108.686709
390	1107.744888
391	1107.187607
392	1106.180375
393	1105.32977
394	1104.744367
395	1103.31489
396	1102.734207
397	1102.350194
398	1102.110896
399	1100.431344
400	1099.846748
401	1098.492687
402	1097.601409
403	1096.62414
404	1096.074855
405	1094.679392
406	1092.623702
407	1092.297383
408	1090.739118
409	1089.862049
410	1089.054589
411	1088.275959
412	1087.958118
413	1087.601358
414	1086.02366
415	1085.117085
416	1084.857018
417	1083.765495
418	1083.053329
419	1082.277394
420	1081.54491
421	1079.491259
422	1078.176623
423	1077.448321
424	1076.73438
425	1075.921423
426	1075.232457
427	1074.346278
428	1074.006478
429	1072.45265
430	1072.150797
431	1071.856821
432	1071.492966
433	1070.716981
434	1068.820814
435	1068.388047
436	1066.832151
437	1066.097814
438	1065.805602
439	1064.684618
440	1063.984253
441	1063.233252
442	1061.874766
443	1061.13096
444	1059.947897
445	1059.114548
446	1057.989792
447	1056.273772
448	1055.372344
449	1053.970464
450	1053.067387
451	1052.000943
452	1050.424158
453	1049.549992
454	1049.043669
455	1048.224854
456	1047.452934
457	1046.773064
458	1045.881074
459	1045.044408
460	1044.541837
461	1043.523007
462	1042.694504
463	1042.548734
464	1041.886517
465	1041.227394
466	1040.791006
467	1039.947566
468	1039.404151
469	1038.510274
470	1037.972396
471	1037.255665
472	1036.67922
473	1036.230528
474	1035.476731
475	1035.258275
476	1034.740727
477	1034.245009
478	1033.853005
479	1033.64207
480	1032.994472
481	1032.496763
482	1031.871877
483	1031.385857
484	1029.980303
485	1029.776574
486	1029.172295
487	1027.824654
488	1027.13548
489	1026.636038
490	1026.030238
491	1025.425542
492	1024.922477
493	1024.661515
494	1024.312666
495	1024.132889
496	1022.984868
497	1022.519086
498	1021.80537
499	1021.337686
