iter	Passed	Remaining
0	158	79013
1	165	41231
2	173	28731
3	180	22400
4	188	18614
5	194	16015
6	201	14164
7	206	12697
8	212	11609
9	219	10759
10	225	10037
11	232	9466
12	239	8970
13	246	8544
14	252	8152
15	257	7795
16	263	7496
17	271	7268
18	278	7052
19	284	6835
20	291	6646
21	297	6461
22	303	6292
23	309	6133
24	314	5980
25	319	5824
26	323	5672
27	328	5539
28	333	5410
29	337	5293
30	342	5180
31	346	5071
32	351	4968
33	355	4871
34	360	4783
35	364	4693
36	368	4607
37	372	4526
38	377	4456
39	381	4383
40	385	4314
41	390	4255
42	394	4193
43	398	4132
44	402	4074
45	407	4022
46	411	3967
47	416	3918
48	421	3875
49	426	3838
50	431	3796
51	435	3751
52	440	3711
53	445	3676
54	449	3636
55	453	3596
56	458	3564
57	463	3529
58	468	3499
59	473	3475
60	478	3443
61	482	3409
62	487	3382
63	492	3353
64	496	3321
65	500	3292
66	505	3268
67	509	3237
68	513	3209
69	518	3183
70	523	3165
71	528	3139
72	532	3114
73	537	3092
74	541	3070
75	546	3049
76	551	3027
77	555	3007
78	560	2985
79	564	2965
80	570	2948
81	574	2930
82	579	2910
83	584	2892
84	589	2875
85	593	2858
86	598	2841
87	603	2826
88	608	2809
89	612	2791
90	617	2777
91	622	2762
92	626	2743
93	631	2727
94	636	2713
95	640	2696
96	645	2680
97	649	2665
98	654	2651
99	659	2636
100	663	2620
101	668	2608
102	673	2596
103	678	2583
104	683	2570
105	687	2555
106	691	2540
107	695	2525
108	700	2512
109	705	2501
110	710	2488
111	715	2477
112	719	2465
113	724	2452
114	728	2440
115	733	2429
116	738	2418
117	743	2405
118	748	2394
119	752	2382
120	756	2370
121	760	2357
122	766	2348
123	770	2337
124	774	2324
125	779	2314
126	784	2302
127	788	2291
128	792	2279
129	797	2270
130	802	2260
131	806	2249
132	811	2238
133	816	2229
134	820	2219
135	825	2208
136	830	2199
137	835	2190
138	839	2179
139	843	2169
140	848	2161
141	852	2150
142	857	2141
143	863	2134
144	868	2125
145	872	2115
146	877	2107
147	882	2099
148	886	2088
149	890	2077
150	896	2071
151	900	2062
152	905	2052
153	910	2045
154	915	2037
155	919	2027
156	923	2018
157	928	2010
158	933	2002
159	938	1993
160	943	1986
161	948	1978
162	952	1968
163	956	1960
164	961	1952
165	966	1943
166	970	1934
167	974	1926
168	979	1917
169	983	1908
170	987	1900
171	992	1893
172	996	1884
173	1000	1875
174	1005	1867
175	1010	1859
176	1014	1850
177	1018	1842
178	1022	1834
179	1027	1826
180	1031	1818
181	1036	1810
182	1041	1804
183	1046	1796
184	1050	1788
185	1054	1780
186	1059	1773
187	1063	1765
188	1069	1759
189	1074	1753
190	1079	1745
191	1083	1738
192	1089	1733
193	1094	1725
194	1098	1718
195	1103	1711
196	1108	1704
197	1112	1697
198	1117	1689
199	1121	1682
200	1126	1675
201	1129	1666
202	1133	1658
203	1138	1652
204	1143	1645
205	1146	1636
206	1151	1630
207	1156	1623
208	1160	1615
209	1164	1607
210	1169	1602
211	1174	1594
212	1178	1587
213	1182	1580
214	1187	1574
215	1191	1566
216	1195	1558
217	1200	1552
218	1205	1547
219	1210	1540
220	1214	1533
221	1219	1527
222	1224	1520
223	1228	1513
224	1232	1506
225	1237	1500
226	1242	1493
227	1246	1486
228	1251	1480
229	1256	1474
230	1259	1466
231	1263	1460
232	1268	1453
233	1272	1447
234	1277	1440
235	1281	1433
236	1286	1427
237	1290	1420
238	1293	1413
239	1299	1407
240	1303	1400
241	1307	1393
242	1311	1387
243	1316	1381
244	1320	1374
245	1324	1367
246	1328	1361
247	1333	1355
248	1338	1348
249	1342	1342
250	1347	1336
251	1352	1331
252	1357	1325
253	1361	1318
254	1366	1312
255	1370	1306
256	1374	1299
257	1379	1293
258	1384	1287
259	1388	1281
260	1392	1275
261	1397	1269
262	1401	1263
263	1405	1256
264	1410	1250
265	1420	1249
266	1430	1247
267	1442	1249
268	1452	1247
269	1463	1247
270	1474	1246
271	1484	1244
272	1493	1242
273	1503	1240
274	1512	1237
275	1521	1234
276	1529	1231
277	1536	1227
278	1543	1222
279	1550	1218
280	1556	1213
281	1562	1208
282	1569	1203
283	1574	1197
284	1579	1191
285	1585	1186
286	1590	1180
287	1595	1174
288	1600	1168
289	1604	1161
290	1608	1155
291	1614	1149
292	1618	1143
293	1622	1137
294	1627	1131
295	1632	1124
296	1636	1118
297	1641	1112
298	1646	1106
299	1651	1100
300	1655	1094
301	1660	1088
302	1665	1082
303	1669	1076
304	1673	1070
305	1678	1064
306	1682	1057
307	1687	1052
308	1692	1046
309	1697	1040
310	1701	1034
311	1705	1027
312	1710	1021
313	1715	1016
314	1718	1009
315	1723	1003
316	1727	997
317	1731	991
318	1735	984
319	1740	978
320	1744	973
321	1749	967
322	1753	960
323	1758	955
324	1763	949
325	1767	943
326	1771	937
327	1775	931
328	1779	925
329	1783	918
